,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Symbol,Company Name,Interest Income,Rent Expense Supplemental,Total Operating Income As Reported,Average Dilution Earnings,Other Special Charges,Impairment Of Capital Assets,Interest Income Non Operating,Selling And Marketing Expense,Otherunder Preferred Stock Dividend,Amortization,Amortization Of Intangibles Income Statement,Preferred Stock Dividends,Earnings From Equity Interest Net Of Tax,General And Administrative Expense,Other Gand A,Net Income Discontinuous Operations,Gain On Sale Of Business,Write Off,Salaries And Wages,Other Taxes,Provision For Doubtful Accounts,Total Other Finance Cost,Depreciation Income Statement,Insurance And Claims,Rent And Landing Fees,Excise Taxes,Depletion Income Statement,Securities Amortization
3/31/2024,0,0.146936,2382000000,,,1225000000,805000000,4130000000,2382000000,1577000000,-61000000,141000000,1225000000,1225000000,8578000000,1750000000,1739633759,0.7,0.704171,1225000000,1225000000,1225000000,,1225000000,1225000000,211000000,1436000000,111000000,111000000,,,,,,-61000000,141000000,1386000000,4115000000,,472000000,472000000,684000000,2959000000,5501000000,4463000000,9964000000,9964000000,ABT,Abbott Laboratories,80000000,,1386000000,,,,80000000,,,472000000,472000000,,,,,,,,,,,,,,,,,
12/31/2023,-2687465.181,0.111978,2791000000,-24000000,-24000000,1594000000,813000000,4224000000,2767000000,1954000000,-70000000,159000000,1615312535,1594000000,8461000000,1748000000,1734076358,0.91,0.919221,1594000000,1594000000,1594000000,,1594000000,1594000000,201000000,1795000000,85000000,109000000,,,,,-24000000,-70000000,159000000,1780000000,3905000000,,481000000,481000000,700000000,2724000000,5685000000,4556000000,10241000000,10241000000,ABT,Abbott Laboratories,89000000,,1780000000,,,,89000000,,,481000000,481000000,,,,,,,,,,,,,,,,,
9/30/2023,1406343.507,0.140634,2651000000,10000000,10000000,1436000000,824000000,4277000000,2661000000,1837000000,-69000000,166000000,1427406344,1436000000,8496000000,1748000000,1736058536,0.82,0.827161,1436000000,1436000000,1436000000,,1436000000,1436000000,235000000,1671000000,93000000,83000000,,,,,10000000,-69000000,166000000,1647000000,3891000000,,496000000,496000000,672000000,2723000000,5538000000,4605000000,10143000000,10143000000,ABT,Abbott Laboratories,97000000,,1647000000,,,,97000000,,,496000000,496000000,,,,,,,,,,,,,,,,,
6/30/2023,-3350244.499,0.159535,2616000000,-21000000,-21000000,1375000000,800000000,4181000000,2595000000,1795000000,-61000000,159000000,1392649756,1375000000,8436000000,1750000000,1735357980,0.78,0.792344,1375000000,1375000000,1375000000,,1375000000,1375000000,261000000,1636000000,155000000,176000000,,,,,-21000000,-61000000,159000000,1542000000,3953000000,,498000000,498000000,715000000,2740000000,5495000000,4483000000,9978000000,9978000000,ABT,Abbott Laboratories,98000000,,1542000000,,,,98000000,,,498000000,498000000,,,,,,,,,,,,,,,,,
3/31/2023,-937259.9232,0.15621,2527000000,-6000000,-6000000,1318000000,806000000,4016000000,2521000000,1715000000,-52000000,153000000,1323062740,1318000000,8238000000,1752000000,1738946799,0.75,0.75793,1318000000,1318000000,1318000000,,1318000000,1318000000,244000000,1562000000,105000000,111000000,,,,,-6000000,-52000000,153000000,1509000000,3907000000,,491000000,491000000,654000000,2762000000,5416000000,4331000000,9747000000,9747000000,ABT,Abbott Laboratories,101000000,,1509000000,,,,101000000,,,491000000,491000000,,,,,,,,,,,,,,,,,
3/31/2024,0,0.083,,,,1120000000,21000000,,,1200000000,-34000000,34000000,1120000000,1120000000,2712000000,380500000,370900000,2.92,2.99,1110000000,1110000000,1120000000,0,1120000000,1120000000,101000000,1166000000,26000000,,,,,,,-34000000,34000000,,,421000000,,21000000,,,,,3878000000,3878000000,ACGL,Arch Capital Group Ltd.,8000000,,,,,,,,,21000000,,10000000,55000000,,,,,,,,,,,,,,,
12/31/2023,0,0.21,,,,2334000000,24000000,,,1222000000,-34000000,34000000,2334000000,2334000000,2599000000,379800000,369600000,6.12,6.29,2324000000,2324000000,2334000000,1000000,2333000000,2333000000,-1076000000,1188000000,27000000,,,,,,,-34000000,34000000,,,363000000,,24000000,,31000000,,,3787000000,3787000000,ACGL,Arch Capital Group Ltd.,,,,,,,,,,24000000,,10000000,69000000,31000000,31000000,,,,,,,,,,,,,
9/30/2023,0,0.097166,,,,723000000,24000000,,,775000000,-34000000,34000000,723000000,723000000,2552000000,379400000,369200000,1.88,1.93,713000000,713000000,723000000,0,723000000,723000000,72000000,741000000,1000000,,,,,,,-34000000,34000000,,,331000000,,24000000,,20000000,,,3293000000,3293000000,ACGL,Arch Capital Group Ltd.,,,,,,,,,,24000000,,10000000,54000000,20000000,20000000,,,,,,,,,,,,,
6/30/2023,0,0.093838,,,,671000000,24000000,,,747000000,-33000000,33000000,671000000,671000000,2382000000,378400000,368700000,1.75,1.79,661000000,661000000,671000000,2000000,669000000,669000000,67000000,714000000,9000000,,,,,,,-33000000,33000000,,,342000000,,24000000,,21000000,,,3096000000,3096000000,ACGL,Arch Capital Group Ltd.,,,,,,,,,,24000000,,10000000,22000000,21000000,21000000,,,,,,,,,,,,,
3/31/2023,0,0.082,,,,715000000,23000000,,,774000000,-32000000,32000000,715000000,715000000,2376000000,377600000,367300000,1.87,1.92,705000000,705000000,715000000,-2000000,717000000,717000000,64000000,742000000,21000000,,,,,,,-32000000,32000000,,,365000000,,23000000,,30000000,,,3118000000,3118000000,ACGL,Arch Capital Group Ltd.,4000000,,,,,,,,,23000000,,10000000,39000000,30000000,30000000,,,,,,,,,,,,,
