,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Symbol,Company Name,Interest Income,Rent Expense Supplemental,Total Operating Income As Reported,Average Dilution Earnings,Other Special Charges,Impairment Of Capital Assets,Interest Income Non Operating,Selling And Marketing Expense,Otherunder Preferred Stock Dividend,Amortization,Amortization Of Intangibles Income Statement,Preferred Stock Dividends,Earnings From Equity Interest Net Of Tax,General And Administrative Expense,Other Gand A,Net Income Discontinuous Operations,Gain On Sale Of Business,Write Off,Salaries And Wages,Other Taxes,Provision For Doubtful Accounts,Total Other Finance Cost,Depreciation Income Statement,Insurance And Claims,Rent And Landing Fees,Excise Taxes,Depletion Income Statement,Securities Amortization
6/30/2023,0,0.00025,308568000,0,0,155630000,69020000,8603000,308568000,239548000,-78098000,79371000,155630000,155630000,118314000,263400000,262490000,0.59,0.59,155630000,155543000,155630000,-4507000,160137000,160137000,40000,160177000,,,0,,,,,-78098000,79371000,238275000,106422000,,65731000,65731000,,12639000,344697000,11892000,356589000,356589000,GLPI,"Gaming and Leisure Properties, Inc.",1273000,11892000,238275000,87000,,0,1273000,,87000,,,,,12639000,12639000,,,,,,28052000,,65731000,,,,,
3/31/2023,-1522.337569,0.002738,339948000,-556000,-556000,183351000,68844000,8724000,339392000,270548000,-77105000,81360000,183905477.7,183351000,88365000,262672000,261791000,0.7,0.7,183351000,183261000,183351000,-5319000,188670000,188670000,518000,189188000,-556000,,-556000,,,,,-77105000,81360000,266849000,76351000,,65554000,65554000,,16450000,343200000,12014000,355214000,355214000,GLPI,"Gaming and Leisure Properties, Inc.",4255000,12014000,266849000,90000,556000,,4255000,,90000,,,,,16450000,16450000,,,,,,-5653000,,65554000,,,,,
3/31/2024,9360000,0.24,677000000,39000000,39000000,209000000,337000000,1675000000,716000000,379000000,-71000000,83000000,179360000,209000000,2721000000,862000000,852000000,0.24,0.25,209000000,209000000,209000000,-16000000,225000000,225000000,71000000,296000000,113000000,74000000,,,,,39000000,-71000000,83000000,254000000,739000000,,30000000,30000000,258000000,451000000,993000000,1982000000,2975000000,2975000000,GLW,Corning Incorporated,12000000,,254000000,,,,12000000,,,30000000,30000000,,,,,,,,,,,,,,,,,
12/31/2023,8684210.526,0.263158,364000000,33000000,33000000,-40000000,345000000,1768000000,397000000,52000000,-77000000,90000000,-64315789.47,-40000000,2916000000,851000000,851000000,-0.05,-0.05,-40000000,-40000000,-40000000,-12000000,-28000000,-28000000,-10000000,-38000000,-39000000,-72000000,,,,,33000000,-77000000,90000000,78000000,833000000,,30000000,30000000,289000000,514000000,911000000,2083000000,2994000000,2994000000,GLW,Corning Incorporated,13000000,,78000000,,,,13000000,,,30000000,30000000,,,,,,,,,,,,,,,,,
9/30/2023,3220000,0.161,619000000,20000000,20000000,164000000,340000000,1859000000,639000000,299000000,-72000000,82000000,147220000,164000000,2937000000,859000000,850000000,0.19,0.19,164000000,164000000,164000000,-18000000,182000000,182000000,35000000,217000000,53000000,33000000,,,,,20000000,-72000000,82000000,236000000,768000000,,30000000,30000000,270000000,468000000,1004000000,2169000000,3173000000,3173000000,GLW,Corning Incorporated,10000000,,236000000,,,,10000000,,,30000000,30000000,,,,,,,,,,,,,,,,,
6/30/2023,30044000,0.259,717000000,116000000,116000000,281000000,343000000,1918000000,833000000,490000000,-73000000,81000000,195044000,281000000,2964000000,859000000,848000000,0.33,0.33,281000000,281000000,281000000,-22000000,303000000,303000000,106000000,409000000,203000000,87000000,,,,,116000000,-73000000,81000000,279000000,734000000,,31000000,31000000,263000000,440000000,1013000000,2230000000,3243000000,3243000000,GLW,Corning Incorporated,8000000,,279000000,,,,8000000,,,31000000,31000000,,,,,,,,,,,,,,,,,
3/31/2023,-1296000,0.162,653000000,-8000000,-8000000,176000000,341000000,1865000000,645000000,304000000,-69000000,76000000,182704000,176000000,2881000000,859000000,844000000,0.2,0.21,176000000,176000000,176000000,-15000000,191000000,191000000,37000000,228000000,,8000000,,,,,-8000000,-69000000,76000000,297000000,706000000,,31000000,31000000,254000000,421000000,1003000000,2175000000,3178000000,3178000000,GLW,Corning Incorporated,7000000,,297000000,,,,7000000,,,31000000,31000000,,,,,,,,,,,,,,,,,
3/31/2024,0,0.205,6732000000,,,2980000000,2798000000,37102000000,6732000000,3934000000,83000000,219000000,2980000000,2980000000,39277000000,1162000000,1155000000,2.56,2.57,2970000000,2970000000,2980000000,27000000,2953000000,2953000000,762000000,3715000000,-105000000,,,,,-105000000,,83000000,219000000,3737000000,2175000000,,,,,2175000000,5912000000,37102000000,43014000000,43014000000,GM,General Motors Company,302000000,,3738000000,,,,302000000,,,,,9000000,,,,,,,,,,,,,,,,
12/31/2023,0,0.21,4508000000,,,2101000000,3150000000,39670000000,4508000000,1358000000,-332000000,222000000,2101000000,2101000000,42061000000,,,,,2076000000,2076000000,2101000000,108000000,1994000000,1994000000,-858000000,1136000000,551000000,,,,,123000000,,-332000000,222000000,918000000,2391000000,,,,,2391000000,3309000000,39670000000,42979000000,42979000000,GM,General Motors Company,-110000000,,918000000,,,,-110000000,,,,,26000000,,,,,,,,,,,,,,,,
9/30/2023,0,0.136,6685000000,,,3064000000,2992000000,38775000000,6685000000,3693000000,224000000,229000000,3064000000,3064000000,41119000000,1378000000,1372000000,2.2,2.21,3038000000,3038000000,3064000000,70000000,2994000000,2994000000,470000000,3464000000,227000000,,,,,227000000,,224000000,229000000,3012000000,2344000000,,,,,2344000000,5356000000,38775000000,44131000000,44131000000,GM,General Motors Company,453000000,,3013000000,,,,453000000,,,,,26000000,,,,,,,,,,,,,,,,
6/30/2023,0,0.172,6189000000,,,2566000000,2934000000,39400000000,6189000000,3255000000,132000000,226000000,2566000000,2566000000,41958000000,1389000000,1385000000,1.83,1.83,2540000000,2540000000,2566000000,59000000,2507000000,2507000000,522000000,3029000000,108000000,,,,,108000000,,132000000,226000000,2789000000,2558000000,,,,,2558000000,5347000000,39400000000,44747000000,44747000000,GM,General Motors Company,358000000,,2789000000,,,,358000000,,,,,27000000,,,,,,,,,,,,,,,,
3/31/2023,0,0.154,5821000000,,,2395000000,2812000000,34859000000,5821000000,3009000000,175000000,234000000,2395000000,2395000000,37406000000,1402000000,1396000000,1.69,1.7,2369000000,2369000000,2395000000,49000000,2346000000,2346000000,428000000,2775000000,21000000,,,,,21000000,,175000000,234000000,2579000000,2547000000,,,,,2547000000,5126000000,34859000000,39985000000,39985000000,GM,General Motors Company,409000000,,2578000000,,,,409000000,,,,,27000000,,,,,,,,,,,,,,,,
3/31/2024,-512015.648,0.152,156668604,-3368524,-3368524,108230714,23953768,387987605,153300080,129346312,,,111087222.4,108230714,460878899,230895846,230605626,0.47,0.47,106654231,106651806,108230714,,108230714,108230714,19417213,127647927,-1698385,1670139,,,,,-3368524,,,129346312,72891294,,,,42181986,30709308,202237606,387987605,590225211,590225211,GNTX,Gentex Corporation,,,129346312,2425,,,,,1578908,,,,,,,,,,,,,,,,,,,
12/31/2023,532355.8988,0.139497,151278249,3816255,3816255,116944196,22320015,385763292,155094504,132774489,,,113660296.9,116944196,456357908,233888390,233888390,0.5,0.5,115230059,115228295,116944196,,116944196,116944196,18957931,135902127,3127638,-688617,,,,,3816255,,,132774489,70594616,,,,41534646,29059970,203369105,385763292,589132397,589132397,GNTX,Gentex Corporation,,,132774489,1764,,,,,1715901,,,,,,,,,,,,,,,,,,,
9/30/2023,612462.753,0.159,140723803,3851967,3851967,104725412,22159241,384407857,144575770,122416529,,,101485907.8,104725412,453431961,230457411,230047014,0.45,0.45,103190285,103188307,104725412,,104725412,104725412,19754749,124480161,2063632,-1788335,,,,,3851967,,,122416529,69024104,,,,40197517,28826587,191440633,384407857,575848490,575848490,GNTX,Gentex Corporation,,,122416529,1978,,,,,1537105,,,,,,,,,,,,,,,,,,,
6/30/2023,436531.034,0.151,149198742,2890934,2890934,109155403,24800288,390389807,152089676,127289388,,,106701000,109155403,456183458,230228350,230005782,0.47,0.47,107539569,107538422,109155403,,109155403,109155403,19448381,128603784,1314396,-1576538,,,,,2890934,,,127289388,65793651,,,,37973790,27819861,193083039,390389807,583472846,583472846,GNTX,Gentex Corporation,,,127289388,1147,,,,,1616981,,,,,,,,,,,,,,,,,,,
3/31/2023,467332.005,0.159,134353100,2939195,2939195,97578261,24041648,376024080,137292295,113250647,,,95106398.01,97578261,437510664,232789811,232151296,0.42,0.42,96122624,96121348,97578261,,97578261,97578261,18416841,115995102,2744455,-194740,,,,,2939195,,,113250647,61486584,,,,34653747,26832837,174737231,376024080,550761311,550761311,GNTX,Gentex Corporation,,,113250647,1276,,,,,1456913,,,,,,,,,,,,,,,,,,,
3/31/2024,-8840000,0.26,1270000000,-34000000,-34000000,295000000,474000000,1936000000,1236000000,762000000,-27000000,101000000,320160000,295000000,2057000000,1756000000,1756000000,0.17,0.17,295000000,295000000,295000000,-192000000,487000000,487000000,174000000,661000000,-2000000,-16000000,-20000000,1000000,,48000000,-14000000,-27000000,101000000,690000000,121000000,93000000,,,,28000000,811000000,1936000000,2747000000,2747000000,GOLD,Barrick Gold Corporation,5000000,,,,4000000,17000000,5000000,,,,,,,28000000,27000000,,,17000000,1000000,,,-69000000,,,,,,
12/31/2023,5416342.412,0.225681,1325000000,24000000,24000000,479000000,564000000,2139000000,1349000000,785000000,75000000,14000000,460416342.4,479000000,2425000000,,,,,479000000,479000000,479000000,-118000000,597000000,597000000,174000000,771000000,62000000,-15000000,61000000,354000000,,53000000,-37000000,75000000,14000000,634000000,286000000,241000000,,,,29000000,920000000,2139000000,3059000000,3059000000,GOLD,Barrick Gold Corporation,4000000,,,,6000000,-23000000,4000000,,,,,,,29000000,27000000,,,287000000,2000000,,,-85000000,,,,,,
9/30/2023,-12960000,0.27,1465000000,-48000000,-48000000,368000000,504000000,1915000000,1417000000,913000000,-47000000,110000000,403040000,368000000,2006000000,1755000000,1755000000,0.21,0.21,368000000,368000000,368000000,-217000000,585000000,585000000,218000000,803000000,-6000000,-26000000,-17000000,4000000,,68000000,-31000000,-47000000,110000000,856000000,91000000,42000000,,,,30000000,947000000,1915000000,2862000000,2862000000,GOLD,Barrick Gold Corporation,6000000,,,,21000000,0,6000000,,,,,,,30000000,23000000,,,0,7000000,,,-57000000,,,,,,
6/30/2023,-4420000,0.34,1366000000,-13000000,-13000000,305000000,480000000,1937000000,1353000000,873000000,-38000000,107000000,313580000,305000000,2066000000,1755000000,1755000000,0.17,0.17,305000000,305000000,305000000,-197000000,502000000,502000000,264000000,766000000,37000000,-8000000,-23000000,3000000,,58000000,10000000,-38000000,107000000,767000000,129000000,88000000,,,,28000000,896000000,1937000000,2833000000,2833000000,GOLD,Barrick Gold Corporation,6000000,,,,4000000,22000000,6000000,,,,,,,28000000,23000000,,,22000000,5000000,,,-63000000,,,,,,
3/31/2023,-16800000,0.4,1130000000,-42000000,-42000000,120000000,495000000,1941000000,1088000000,593000000,-54000000,119000000,145200000,120000000,2090000000,1755000000,1755000000,0.07,0.07,120000000,120000000,120000000,-149000000,269000000,269000000,205000000,474000000,-25000000,-36000000,-3000000,3000000,,53000000,-39000000,-54000000,119000000,553000000,149000000,93000000,,,,39000000,702000000,1941000000,2643000000,2643000000,GOLD,Barrick Gold Corporation,5000000,,,,5000000,1000000,5000000,,,,,,,39000000,28000000,,,1000000,11000000,,,-60000000,,,,,,
3/31/2024,253052000,0.164,30279000000,1543000000,1543000000,23662000000,3413000000,33712000000,31822000000,28409000000,967000000,94000000,22372052000,23662000000,55067000000,12527000000,12415000000,1.89,1.91,25303000000,23662000000,23662000000,,23662000000,23662000000,4653000000,28315000000,1876000000,359000000,,,,-26000000,1543000000,967000000,94000000,25472000000,21355000000,,,,11903000000,9452000000,46827000000,33712000000,80539000000,80539000000,GOOGL,Alphabet Inc.,1061000000,,25472000000,1641000000,,,1061000000,6426000000,,,,,,3026000000,3026000000,,,,,,,,,,,,,
12/31/2023,3356955.596,0.152589,26022000000,22000000,22000000,20687000000,1563000000,37575000000,26044000000,24481000000,1041000000,69000000,20668356956,20687000000,62613000000,12602000000,12488000000,1.64,1.66,20687000000,20687000000,20687000000,,20687000000,20687000000,3725000000,24412000000,-326000000,-92000000,,,,-256000000,22000000,1041000000,69000000,23697000000,25038000000,,,,12113000000,12925000000,48735000000,37575000000,86310000000,86310000000,GOOGL,Alphabet Inc.,1110000000,,23697000000,,,,1110000000,7719000000,,,,,,5206000000,5206000000,,,,,,,,,,,,,
9/30/2023,-83780000,0.071,26293000000,-1180000000,-1180000000,19689000000,3800000000,33229000000,25113000000,21313000000,950000000,116000000,20785220000,19689000000,55350000000,12702580645,12621153846,1.55,1.56,19689000000,19689000000,19689000000,,19689000000,19689000000,1508000000,21197000000,-1096000000,299000000,,,,-215000000,-1180000000,950000000,116000000,21343000000,22121000000,,,,11258000000,10863000000,43464000000,33229000000,76693000000,76693000000,GOOGL,Alphabet Inc.,1066000000,,21343000000,,,,1066000000,6884000000,,,,,,3979000000,3979000000,,,,,,,,,,,,,
6/30/2023,-125097000,0.161,26671000000,-777000000,-777000000,18368000000,3948000000,31916000000,25894000000,21946000000,849000000,43000000,19019903000,18368000000,52766000000,13674000000,12725000000,1.44,1.45,18368000000,18368000000,18368000000,,18368000000,18368000000,3535000000,21903000000,-784000000,99000000,,,,-106000000,-777000000,849000000,43000000,21838000000,20850000000,,,,10588000000,10262000000,42688000000,31916000000,74604000000,74604000000,GOOGL,Alphabet Inc.,892000000,,21838000000,,,,892000000,6781000000,,,,,,3481000000,3481000000,,,,,,,,,,,,,
3/31/2023,-21798000,0.173,21046000000,-126000000,-126000000,15051000000,2635000000,30612000000,20920000000,18285000000,717000000,80000000,15155202000,15051000000,52372000000,13706000000,12781000000,1.17,1.18,16087000000,15051000000,15051000000,,15051000000,15051000000,3154000000,18205000000,73000000,250000000,,,,-51000000,-126000000,717000000,80000000,17415000000,21760000000,,,,11468000000,10292000000,39175000000,30612000000,69787000000,69787000000,GOOGL,Alphabet Inc.,797000000,,17415000000,1036000000,,,797000000,6533000000,,,,,,3759000000,3759000000,,,,,,,,,,,,,
3/31/2024,-19514870,0.235,516523000,-83042000,-83042000,248894000,90610000,3708976000,433481000,342871000,-17690000,17690000,312421130,248894000,5380724000,140096000,139429000,1.78,1.79,248894000,248894000,248894000,,248894000,248894000,76287000,325181000,-60036000,23006000,-83042000,,83042000,,,-17690000,17690000,402907000,1671748000,,90610000,90610000,,1574927000,2074655000,3708976000,5783631000,5783631000,GPC,Genuine Parts Company,,,,,,,,,,,,,,,,,,,,,6211000,,,,,,,
12/31/2023,0,0.243361,522697000,,,316875000,88581000,3552597000,522697000,434116000,-15323000,15323000,316875000,316875000,5167194000,140359000,139766000,2.26,2.27,316875000,316875000,316875000,,316875000,316875000,101918000,418793000,15426000,15426000,,,,,,-15323000,15323000,418690000,1614597000,,88581000,88581000,,1522447000,2033287000,3552597000,5585884000,5585884000,GPC,Genuine Parts Company,,,,,,,,,,,,,,,,,,,,,3569000,,,,,,,
9/30/2023,0,0.245,564747000,,,351198000,83860000,3715361000,564747000,480887000,-15827000,15827000,351198000,351198000,5359437000,140934000,140335000,2.49,2.5,351198000,351198000,351198000,,351198000,351198000,113862000,465060000,15722000,15722000,,,,,,-15827000,15827000,465165000,1644076000,,83860000,83860000,,1551799000,2109241000,3715361000,5824602000,5824602000,GPC,Genuine Parts Company,,,,,,,,,,,,,,,,,,,,,8417000,,,,,,,
6/30/2023,0,0.241,561417000,,,344494000,90873000,3780263000,561417000,470544000,-16455000,16455000,344494000,344494000,5461111000,141247000,140574000,2.44,2.45,344494000,344494000,344494000,,344494000,344494000,109595000,454089000,16649000,16649000,,,,,,-16455000,16455000,453895000,1680848000,,90873000,90873000,,1581653000,2134743000,3780263000,5915006000,5915006000,GPC,Genuine Parts Company,,,,,,,,,,,,,,,,,,,,,8322000,,,,,,,
3/31/2023,0,0.248,508485000,0,0,303957000,87215000,3751717000,508485000,421270000,-16864000,16864000,303957000,303957000,5355815000,141725000,140804000,2.14,2.16,303957000,303957000,303957000,,303957000,303957000,100449000,404406000,11967000,11967000,0,,0,,,-16864000,16864000,409303000,1604098000,,87215000,87215000,,1511244000,2013401000,3751717000,5765118000,5765118000,GPC,Genuine Parts Company,,,,,,,,,,,,,,,,,,,,,5639000,,,,,,,
3/31/2024,0,0.059,949316000,0,0,313307000,461136000,922390000,949316000,488180000,-126219000,162147000,313307000,313307000,1967935000,257588000,256926000,1.22,1.22,313307000,313307000,313307000,-9755000,323062000,323062000,19382000,326033000,,,0,,,,,-126219000,162147000,452252000,1045545000,,,,,1045545000,1497797000,922390000,2420187000,2420187000,GPN,Global Payments Inc.,35928000,,452252000,,,,35928000,,,,,,16411000,,,,0,,,,,,,,,,,
12/31/2023,59249.46862,0.025202,983887000,2351000,2351000,361297000,448641000,922284000,986238000,537597000,-130806000,169687000,359005249.5,361297000,1937447000,261102000,260375000,1.38,1.39,361297000,361297000,361297000,-11136000,372433000,372433000,9272000,367910000,2351000,,2351000,,,,,-130806000,169687000,496365000,1015163000,,,,,1015163000,1511528000,922284000,2433812000,2433812000,GPN,Global Payments Inc.,38881000,,498716000,,,0,38881000,,,,,,13795000,,,,2351000,,,,,,,,,,,
9/30/2023,0,0.141,1052551000,0,0,361830000,458623000,915531000,1052551000,593928000,-140362000,176094000,361830000,361830000,1917495000,260935000,260232000,1.39,1.39,361830000,361830000,361830000,-14775000,376605000,376605000,58936000,417834000,,,0,,,,,-140362000,176094000,558196000,1001964000,,,,,1001964000,1560160000,915531000,2475691000,2475691000,GPN,Global Payments Inc.,35732000,,558196000,,,,35732000,,,,,,17707000,,,,0,,,,,,,,,,,
6/30/2023,41454181.6,0.392046,987125000,105738000,105738000,274148000,462178000,941952000,1092863000,630685000,-163479000,191423000,209864181.6,274148000,1955466000,261328000,260827000,1.05,1.05,274148000,274148000,274148000,-10058000,284206000,284206000,172211000,439262000,105738000,,105738000,,,,,-163479000,191423000,497003000,1013514000,,,,,1013514000,1510517000,941952000,2452469000,2452469000,GPN,Global Payments Inc.,27944000,,602741000,,,0,27944000,,,,,,17155000,,,,105738000,,,,,,,,,,,
3/31/2023,-51414930,0.21,719971000,-244833000,-244833000,-11041000,407250000,947753000,475138000,67888000,-111792000,122945000,182377070,-11041000,1990879000,263115000,263115000,-0.04,-0.04,-11041000,-11041000,-11041000,-6621000,-4420000,-4420000,-31399000,-55057000,-244833000,,-244833000,,,,,-111792000,122945000,301568000,1043126000,,,,,1043126000,1344694000,947753000,2292447000,2292447000,GPN,Global Payments Inc.,11153000,,56735000,,,,11153000,,,,,,19238000,,,,-244833000,,,,,,,,,,,
3/31/2024,355992,0.156,340953000,2282000,2282000,275961000,44825000,579510000,343235000,298410000,25027000,,274034992,275961000,1083239000,192698000,191890000,1.43,1.44,275961000,275961000,275961000,,275961000,275961000,51079000,327040000,3603000,1321000,,,,,2282000,25027000,,298410000,503729000,,,,242535000,261194000,802139000,579510000,1381649000,1381649000,GRMN,Garmin Ltd.,25027000,,298410000,,,,25027000,,,,,,,,,,,,,,,,,,,,,
12/31/2023,1656480,0.085,366304000,19488000,19488000,542127000,45338000,618352000,385792000,340454000,22841000,,524295480,542127000,1142047000,192557000,191363000,2.82,2.83,542127000,542127000,542127000,,542127000,542127000,-159090000,383037000,19742000,254000,,,,,19488000,22841000,,340454000,523695000,,,,237245000,286450000,864149000,618352000,1482501000,1482501000,GRMN,Garmin Ltd.,22841000,,340454000,,,,22841000,61260000,,,,,,225190000,225190000,,,,,,,,,,,,,
9/30/2023,-923120,0.08,326538000,-11539000,-11539000,257243000,44630000,548962000,314999000,270369000,19803000,,267858880,257243000,1007162000,191868000,191435000,1.34,1.34,257243000,257243000,257243000,,257243000,257243000,22328000,279571000,-10601000,938000,,,,,-11539000,19803000,,270369000,458200000,,,,221572000,236628000,728569000,548962000,1277531000,1277531000,GRMN,Garmin Ltd.,19803000,,270369000,,,,19803000,35158000,,,,,,201470000,201470000,,,,,,,,,,,,,
6/30/2023,960933,0.089,317747000,10797000,10797000,287939000,44189000,561353000,328544000,284355000,18760000,,278102933,287939000,1036440000,191597000,191293000,1.5,1.51,287939000,287939000,287939000,,287939000,287939000,28037000,315976000,12861000,2064000,,,,,10797000,18760000,,284355000,475087000,,,,224394000,250693000,759442000,561353000,1320795000,1320795000,GRMN,Garmin Ltd.,18760000,,284355000,,,,18760000,46344000,,,,,,204349000,204349000,,,,,,,,,,,,,
3/31/2023,676544,0.088,232709000,7688000,7688000,202327000,43415000,494630000,240397000,196982000,15899000,,195315544,202327000,950442000,191886000,191498000,1.05,1.06,202327000,202327000,202327000,,202327000,202327000,19445000,221772000,8891000,1203000,,,,,7688000,15899000,,196982000,455812000,,,,221485000,234327000,652794000,494630000,1147424000,1147424000,GRMN,Garmin Ltd.,15899000,,196982000,,,,15899000,30347000,,,,,,203980000,203980000,,,,,,,,,,,,,
3/31/2024,-21733000,0.211,,-103000000,-103000000,4132000000,627000000,,,,1608000000,17947000000,4213267000,4132000000,,339500000,335600000,11.58,11.67,3931000000,3931000000,4132000000,,4132000000,4132000000,1105000000,5237000000,,,-103000000,,,,0,,,,,,547000000,547000000,,4738000000,,,14213000000,14213000000,GS,"The Goldman Sachs Group, Inc.",19555000000,,,,23000000,80000000,,153000000,,,,201000000,,4585000000,,,,,4585000000,,,,,,,,,
12/31/2023,80326530.61,0.109139,,736000000,736000000,2008000000,780000000,,,,1339000000,17145000000,1352326531,2008000000,,340900000,335700000,5.48,5.52,1867000000,1867000000,2008000000,,2008000000,2008000000,246000000,2254000000,,,736000000,,,,0,,,,,,2990000000,2990000000,,3777000000,,,11318000000,11318000000,GS,"The Goldman Sachs Group, Inc.",18484000000,,,,9000000,-745000000,,175000000,,,,141000000,,3602000000,,,,,3602000000,,,,,,,,,
9/30/2023,-242881712.6,0.253266,,-959000000,-959000000,2058000000,1512000000,,,,1547000000,16710000000,2774118287,2058000000,,343900000,338700000,5.47,5.52,1882000000,1882000000,2058000000,,2058000000,2058000000,698000000,2756000000,,,-959000000,,,,0,,,,,,648000000,648000000,,4324000000,,,11817000000,11817000000,GS,"The Goldman Sachs Group, Inc.",18257000000,,,,15000000,944000000,,136000000,,,,176000000,,4188000000,,,,,4188000000,,,,,,,,,
6/30/2023,-301935483.9,0.299539,,-1008000000,-1008000000,1216000000,1594000000,,,,1684000000,15152000000,1922064516,1216000000,,347200000,342300000,3.08,3.09,1071000000,1071000000,1216000000,,1216000000,1216000000,520000000,1736000000,,,-1008000000,,,,0,,,,,,605000000,605000000,,3765000000,,,10895000000,10895000000,GS,"The Goldman Sachs Group, Inc.",16836000000,,,,19000000,989000000,,146000000,,,,145000000,,3619000000,,,,,3619000000,,,,,,,,,
3/31/2023,-87818181.82,0.190083,,-462000000,-462000000,3234000000,970000000,,,,1781000000,13157000000,3608181818,3234000000,,351300000,346600000,8.79,8.87,3087000000,3087000000,3234000000,,3234000000,3234000000,759000000,3993000000,,,-462000000,,,,0,,,,,,615000000,615000000,,4262000000,,,12224000000,12224000000,GS,"The Goldman Sachs Group, Inc.",14938000000,,,,72000000,390000000,,172000000,,,,147000000,,4090000000,,,,355000000,4090000000,,,,,,,,,
3/31/2024,-10000000,0.4,383000000,-25000000,-25000000,-57000000,284000000,3715000000,358000000,74000000,-126000000,126000000,-42000000,-57000000,4434000000,286000000,286000000,-0.2,-0.2,-57000000,-57000000,-57000000,1000000,-58000000,-58000000,6000000,-52000000,-29000000,-4000000,-24000000,-2000000,22000000,,-1000000,-126000000,126000000,103000000,719000000,,,,,719000000,822000000,3715000000,4537000000,4537000000,GT,The Goodyear Tire & Rubber Company,15000000,,,,,,15000000,,,,,,,719000000,696000000,,,,23000000,,,15000000,,,,,,
12/31/2023,-17259740.26,0.038961,514000000,-443000000,-443000000,-291000000,250000000,4070000000,71000000,-179000000,-115000000,129000000,134740259.7,-291000000,4839000000,,,,,-291000000,-291000000,-291000000,5000000,-296000000,-296000000,-12000000,-308000000,-470000000,-27000000,-394000000,36000000,200000000,,-49000000,-115000000,129000000,277000000,769000000,,,,,769000000,1046000000,4070000000,5116000000,5116000000,GT,The Goodyear Tire & Rubber Company,29000000,,,,,,29000000,,,,,,,,,,,,,,,15000000,,,,,,
9/30/2023,-39690000,0.21,513000000,-189000000,-189000000,-89000000,245000000,4171000000,324000000,79000000,-132000000,138000000,60310000,-89000000,4844000000,285000000,285000000,-0.31,-0.31,-89000000,-89000000,-89000000,-5000000,-84000000,-84000000,25000000,-59000000,-225000000,-36000000,-192000000,6000000,198000000,,3000000,-132000000,138000000,298000000,673000000,,,,,673000000,971000000,4171000000,5142000000,5142000000,GT,The Goodyear Tire & Rubber Company,21000000,,,,,,21000000,,,,,,,,,,,,,,,15000000,,,,,,
6/30/2023,-390476.1905,0.009524,224000000,-41000000,-41000000,-208000000,255000000,4123000000,183000000,-72000000,-137000000,138000000,-167390476.2,-208000000,4831000000,285000000,285000000,-0.73,-0.73,-208000000,-208000000,-208000000,0,-208000000,-208000000,-2000000,-210000000,-109000000,-68000000,-12000000,60000000,72000000,,-29000000,-137000000,138000000,36000000,708000000,,,,,708000000,744000000,4123000000,4867000000,4867000000,GT,The Goodyear Tire & Rubber Company,18000000,,,,,,18000000,,,,,,,,,,,,,,,17000000,,,,,,
3/31/2023,-420000,0.01,320000000,-42000000,-42000000,-101000000,251000000,4193000000,278000000,27000000,-123000000,127000000,-59420000,-101000000,4886000000,285000000,285000000,-0.35,-0.35,-101000000,-101000000,-101000000,-2000000,-99000000,-99000000,-1000000,-100000000,-32000000,10000000,-30000000,2000000,32000000,,-12000000,-123000000,127000000,55000000,693000000,,,,,693000000,748000000,4193000000,4941000000,4941000000,GT,The Goodyear Tire & Rubber Company,16000000,,,,,,16000000,,,,,,,693000000,664000000,,,,29000000,,,12000000,,,,,,
3/31/2024,0,0.242,732000000,,,478000000,56000000,2567000000,732000000,676000000,-21000000,21000000,478000000,478000000,3566000000,49400000,49200000,9.62,9.65,478000000,478000000,478000000,-19000000,497000000,497000000,158000000,655000000,7000000,7000000,,,,,,-21000000,21000000,669000000,999000000,,,,,999000000,1668000000,2567000000,4235000000,4235000000,GWW,"W.W. Grainger, Inc.",,,669000000,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,0,0.238447,616000000,,,395000000,52000000,2434000000,616000000,564000000,-23000000,23000000,395000000,395000000,3440000000,49700000,49500000,7.89,7.93,395000000,395000000,395000000,-17000000,412000000,412000000,129000000,541000000,7000000,7000000,,,,,,-23000000,23000000,557000000,1006000000,,,,,1006000000,1563000000,2434000000,3997000000,3997000000,GWW,"W.W. Grainger, Inc.",,,557000000,,,,,,,,,,,,,,,,,,,,,,,,,
